 

stn;time;rco150z0;qrco150z0
LUZ;202301021350;0;4
LUZ;202301021400;0;4
LUZ;202301021410;0;4
LUZ;202301021420;0;4
LUZ;202301021430;0;4
LUZ;202301021440;0;4
LUZ;202301021450;0;4
LUZ;202301021500;0;4
LUZ;202301021510;0;4
LUZ;202301021520;0;4
LUZ;202301021530;0;4
LUZ;202301021540;0;4
LUZ;202301021550;0;4
LUZ;202301021600;0;4
LUZ;202301021610;0;4
LUZ;202301021620;0;4
LUZ;202301021630;0;4
LUZ;202301021640;0;4
LUZ;202301021650;0;4
LUZ;202301021700;0;4
LUZ;202301021710;0;4
LUZ;202301021720;0;4
LUZ;202301021730;0;4
LUZ;202301021740;0;4
LUZ;202301021750;0;4
LUZ;202301021800;0;4
LUZ;202301021810;0;4
LUZ;202301021820;0;4
LUZ;202301021830;0;4
LUZ;202301021840;0;4
LUZ;202301021850;0;4
LUZ;202301021900;0;4
LUZ;202301021910;0;4
LUZ;202301021920;0;4
LUZ;202301021930;0;4
LUZ;202301021940;0;4
LUZ;202301021950;0;4
LUZ;202301022000;0;4
LUZ;202301022010;0;4
LUZ;202301022020;0;4
LUZ;202301022030;0;4
LUZ;202301022040;0;4
LUZ;202301022050;0;4
LUZ;202301022100;0;4
LUZ;202301022110;0;4
LUZ;202301022120;0;4
LUZ;202301022130;0;4
LUZ;202301022140;0;4
LUZ;202301022150;0;4
LUZ;202301022200;0;4
LUZ;202301022210;0;4
LUZ;202301022220;0;4
LUZ;202301022230;0;4
LUZ;202301022240;0;4
LUZ;202301022250;4;4
LUZ;202301022300;10;4
LUZ;202301022310;9;4
LUZ;202301022320;10;4
LUZ;202301022330;10;4
LUZ;202301022340;10;4
LUZ;202301022350;10;4
LUZ;202301030000;10;4
LUZ;202301030010;10;4
LUZ;202301030020;10;4
LUZ;202301030030;10;4
LUZ;202301030040;10;4
LUZ;202301030050;10;4
LUZ;202301030100;10;4
LUZ;202301030110;7;4
LUZ;202301030120;4;4
LUZ;202301030130;2;4
LUZ;202301030140;10;4
LUZ;202301030150;3;4
LUZ;202301030200;0;4
LUZ;202301030210;3;4
LUZ;202301030220;0;4
LUZ;202301030230;0;4
LUZ;202301030240;0;4
LUZ;202301030250;0;4
LUZ;202301030300;0;4
LUZ;202301030310;0;4
LUZ;202301030320;0;4
LUZ;202301030330;3;4
LUZ;202301030340;10;4
LUZ;202301030350;4;4
LUZ;202301030400;9;4
LUZ;202301030410;10;4
LUZ;202301030420;10;4
LUZ;202301030430;4;4
LUZ;202301030440;0;4
LUZ;202301030450;6;4
LUZ;202301030500;4;4
LUZ;202301030510;0;4
LUZ;202301030520;0;4
LUZ;202301030530;8;4
LUZ;202301030540;10;4
LUZ;202301030550;10;4
LUZ;202301030600;10;4
LUZ;202301030610;10;4
LUZ;202301030620;10;4
LUZ;202301030630;9;4
LUZ;202301030640;9;4
LUZ;202301030650;10;4
LUZ;202301030700;7;4
LUZ;202301030710;0;4
LUZ;202301030720;5;4
LUZ;202301030730;0;4
LUZ;202301030740;0;4
LUZ;202301030750;0;4
LUZ;202301030800;6;4
LUZ;202301030810;10;4
LUZ;202301030820;10;4
LUZ;202301030830;10;4
LUZ;202301030840;10;4
LUZ;202301030850;10;4
LUZ;202301030900;10;4
LUZ;202301030910;8;4
LUZ;202301030920;10;4
LUZ;202301030930;5;4
LUZ;202301030940;10;4
LUZ;202301030950;10;4
LUZ;202301031000;10;4
LUZ;202301031010;10;4
LUZ;202301031020;10;4
LUZ;202301031030;10;4
LUZ;202301031040;10;4
LUZ;202301031050;10;4
LUZ;202301031100;10;4
LUZ;202301031110;10;4
LUZ;202301031120;10;4
LUZ;202301031130;10;4
LUZ;202301031140;9;4
LUZ;202301031150;7;4
LUZ;202301031200;10;4
LUZ;202301031210;10;4
LUZ;202301031220;10;4
LUZ;202301031230;10;4
LUZ;202301031240;10;4
LUZ;202301031250;10;4
LUZ;202301031300;10;4
LUZ;202301031310;10;4
LUZ;202301031320;10;4
LUZ;202301031330;10;4
LUZ;202301031340;4;4
LUZ;202301031350;1;4
LUZ;202301031400;4;4
LUZ;202301031410;8;4
LUZ;202301031420;10;4
LUZ;202301031430;2;4
LUZ;202301031440;8;4
LUZ;202301031450;4;4
LUZ;202301031500;5;4
LUZ;202301031510;9;4
LUZ;202301031520;10;4
LUZ;202301031530;10;4
LUZ;202301031540;10;4
LUZ;202301031550;4;4
LUZ;202301031600;3;4
LUZ;202301031610;0;4
LUZ;202301031620;0;4
LUZ;202301031630;0;4
LUZ;202301031640;0;4
LUZ;202301031650;0;4
LUZ;202301031700;0;4
LUZ;202301031710;0;4
LUZ;202301031720;0;4
LUZ;202301031730;0;4
LUZ;202301031740;0;4
LUZ;202301031750;0;4
LUZ;202301031800;0;4
LUZ;202301031810;0;4
LUZ;202301031820;0;4
LUZ;202301031830;0;4
LUZ;202301031840;0;4
LUZ;202301031850;0;4
LUZ;202301031900;0;4
LUZ;202301031910;0;4
LUZ;202301031920;0;4
LUZ;202301031930;0;4
LUZ;202301031940;0;4
LUZ;202301031950;0;4
LUZ;202301032000;0;4
LUZ;202301032010;0;4
LUZ;202301032020;0;4
LUZ;202301032030;0;4
LUZ;202301032040;0;4
LUZ;202301032050;0;4
LUZ;202301032100;0;4
LUZ;202301032110;0;4
LUZ;202301032120;0;4
LUZ;202301032130;0;4
LUZ;202301032140;0;4
LUZ;202301032150;0;4
LUZ;202301032200;0;4
LUZ;202301032210;0;4
LUZ;202301032220;0;4
LUZ;202301032230;0;4
LUZ;202301032240;0;4
LUZ;202301032250;0;4
LUZ;202301032300;0;4
LUZ;202301032310;0;4
LUZ;202301032320;0;4
LUZ;202301032330;0;4
LUZ;202301032340;0;4
LUZ;202301032350;0;4
LUZ;202301040000;0;4
LUZ;202301040010;0;4
LUZ;202301040020;0;4
LUZ;202301040030;0;4
LUZ;202301040040;0;4
LUZ;202301040050;0;4
LUZ;202301040100;0;4
LUZ;202301040110;0;4
LUZ;202301040120;0;4
LUZ;202301040130;0;4
LUZ;202301040140;0;4
LUZ;202301040150;0;4
LUZ;202301040200;0;4
LUZ;202301040210;0;4
LUZ;202301040220;0;4
LUZ;202301040230;0;4
LUZ;202301040240;0;4
LUZ;202301040250;0;4
LUZ;202301040300;0;4
LUZ;202301040310;0;4
LUZ;202301040320;0;4
LUZ;202301040330;0;4
LUZ;202301040340;0;4
LUZ;202301040350;0;4
LUZ;202301040400;0;4
LUZ;202301040410;0;4
LUZ;202301040420;0;4
LUZ;202301040430;0;4
LUZ;202301040440;0;4
LUZ;202301040450;0;4
LUZ;202301040500;0;4
LUZ;202301040510;0;4
LUZ;202301040520;0;4
LUZ;202301040530;0;4
LUZ;202301040540;0;4
LUZ;202301040550;0;4
LUZ;202301040600;0;4
LUZ;202301040610;0;4
LUZ;202301040620;0;4
LUZ;202301040630;0;4
LUZ;202301040640;0;4
LUZ;202301040650;0;4
LUZ;202301040700;0;4
LUZ;202301040710;0;4
LUZ;202301040720;0;4
LUZ;202301040730;0;4
LUZ;202301040740;0;4
LUZ;202301040750;0;4
LUZ;202301040800;0;4
LUZ;202301040810;0;4
LUZ;202301040820;0;4
LUZ;202301040830;0;4
LUZ;202301040840;0;4
LUZ;202301040850;0;4
LUZ;202301040900;0;4
LUZ;202301040910;0;4
LUZ;202301040920;0;4
LUZ;202301040930;0;4
LUZ;202301040940;0;4
LUZ;202301040950;0;4
LUZ;202301041000;0;4
LUZ;202301041010;0;4
LUZ;202301041020;0;4
LUZ;202301041030;0;4
LUZ;202301041040;0;4
LUZ;202301041050;0;4
LUZ;202301041100;0;4
LUZ;202301041110;0;4
LUZ;202301041120;0;4
LUZ;202301041130;0;4
LUZ;202301041140;0;4
LUZ;202301041150;0;4
LUZ;202301041200;0;4
LUZ;202301041210;0;4
LUZ;202301041220;0;4
LUZ;202301041230;0;4
LUZ;202301041240;0;4
LUZ;202301041250;0;4
LUZ;202301041300;0;4
LUZ;202301041310;0;4
LUZ;202301041320;0;4
LUZ;202301041330;0;4
LUZ;202301041340;0;4
LUZ;202301041350;0;4
LUZ;202301041400;0;4
LUZ;202301041410;0;4
LUZ;202301041420;0;4
LUZ;202301041430;0;4
LUZ;202301041440;0;4
LUZ;202301041450;0;4
LUZ;202301041500;0;4
LUZ;202301041510;0;4
LUZ;202301041520;0;4
LUZ;202301041530;0;4
LUZ;202301041540;0;4
LUZ;202301041550;0;4
LUZ;202301041600;0;4
LUZ;202301041610;0;4
LUZ;202301041620;0;4
LUZ;202301041630;0;4
LUZ;202301041640;0;4
LUZ;202301041650;0;4
LUZ;202301041700;0;4
LUZ;202301041710;0;4
LUZ;202301041720;0;4
LUZ;202301041730;0;4
LUZ;202301041740;0;4
LUZ;202301041750;0;4
LUZ;202301041800;0;4
LUZ;202301041810;0;4
LUZ;202301041820;0;4
LUZ;202301041830;0;4
LUZ;202301041840;0;4
LUZ;202301041850;0;4
LUZ;202301041900;0;4
LUZ;202301041910;0;4
LUZ;202301041920;0;4
LUZ;202301041930;0;4
LUZ;202301041940;0;4
LUZ;202301041950;0;4
LUZ;202301042000;0;4
LUZ;202301042010;0;4
LUZ;202301042020;0;4
LUZ;202301042030;0;4
LUZ;202301042040;0;4
LUZ;202301042050;0;4
LUZ;202301042100;0;4
LUZ;202301042110;0;4
LUZ;202301042120;0;4
LUZ;202301042130;0;4
LUZ;202301042140;0;4
LUZ;202301042150;0;4
LUZ;202301042200;0;4
LUZ;202301042210;0;4
LUZ;202301042220;0;4
LUZ;202301042230;0;4
LUZ;202301042240;0;4
LUZ;202301042250;0;4
LUZ;202301042300;2;4
LUZ;202301042310;8;4
LUZ;202301042320;2;4
LUZ;202301042330;1;4
LUZ;202301042340;10;4
LUZ;202301042350;8;4
LUZ;202301050000;0;4
LUZ;202301050010;0;4
LUZ;202301050020;0;4
LUZ;202301050030;0;4
LUZ;202301050040;0;4
LUZ;202301050050;0;4
LUZ;202301050100;0;4
LUZ;202301050110;0;4
LUZ;202301050120;0;4
LUZ;202301050130;0;4
LUZ;202301050140;0;4
LUZ;202301050150;0;4
LUZ;202301050200;3;4
LUZ;202301050210;2;4
LUZ;202301050220;2;4
LUZ;202301050230;2;4
LUZ;202301050240;6;4
LUZ;202301050250;6;4
LUZ;202301050300;9;4
LUZ;202301050310;8;4
LUZ;202301050320;2;4
LUZ;202301050330;9;4
LUZ;202301050340;10;4
LUZ;202301050350;10;4
LUZ;202301050400;10;4
LUZ;202301050410;1;4
LUZ;202301050420;1;4
LUZ;202301050430;1;4
LUZ;202301050440;7;4
LUZ;202301050450;10;4
LUZ;202301050500;9;4
LUZ;202301050510;10;4
LUZ;202301050520;10;4
LUZ;202301050530;10;4
LUZ;202301050540;10;4
LUZ;202301050550;10;4
LUZ;202301050600;7;4
LUZ;202301050610;0;4
LUZ;202301050620;0;4
LUZ;202301050630;0;4
LUZ;202301050640;0;4
LUZ;202301050650;0;4
LUZ;202301050700;0;4
LUZ;202301050710;0;4
LUZ;202301050720;0;4
LUZ;202301050730;0;4
LUZ;202301050740;0;4
LUZ;202301050750;0;4
LUZ;202301050800;0;4
LUZ;202301050810;0;4
LUZ;202301050820;0;4
LUZ;202301050830;0;4
LUZ;202301050840;0;4
LUZ;202301050850;0;4
LUZ;202301050900;0;4
LUZ;202301050910;0;4
LUZ;202301050920;0;4
LUZ;202301050930;0;4
LUZ;202301050940;0;4
LUZ;202301050950;0;4
LUZ;202301051000;0;4
LUZ;202301051010;0;4
LUZ;202301051020;0;4
LUZ;202301051030;0;4
LUZ;202301051040;0;4
LUZ;202301051050;0;4
LUZ;202301051100;0;4
LUZ;202301051110;0;4
LUZ;202301051120;0;4
LUZ;202301051130;0;4
LUZ;202301051140;0;4
LUZ;202301051150;0;4
LUZ;202301051200;0;4
LUZ;202301051210;0;4
LUZ;202301051220;0;4
LUZ;202301051230;0;4
LUZ;202301051240;0;4
LUZ;202301051250;0;4
LUZ;202301051300;0;4
LUZ;202301051310;0;4
LUZ;202301051320;0;4
LUZ;202301051330;0;4
LUZ;202301051340;0;4
LUZ;202301051350;0;4
LUZ;202301051400;0;4
LUZ;202301051410;0;4
LUZ;202301051420;0;4
LUZ;202301051430;0;4
LUZ;202301051440;0;4
LUZ;202301051450;0;4
LUZ;202301051500;0;4
LUZ;202301051510;0;4
LUZ;202301051520;0;4
LUZ;202301051530;0;4
LUZ;202301051540;0;4
LUZ;202301051550;0;4
LUZ;202301051600;0;4
LUZ;202301051610;0;4
LUZ;202301051620;0;4
LUZ;202301051630;0;4
LUZ;202301051640;0;4
LUZ;202301051650;0;4
LUZ;202301051700;0;4
LUZ;202301051710;0;4
LUZ;202301051720;0;4
LUZ;202301051730;0;4
LUZ;202301051740;0;4
LUZ;202301051750;0;4
LUZ;202301051800;0;4
LUZ;202301051810;0;4
LUZ;202301051820;0;4
LUZ;202301051830;0;4
LUZ;202301051840;0;4
LUZ;202301051850;0;4
LUZ;202301051900;0;4
LUZ;202301051910;0;4
LUZ;202301051920;0;4
LUZ;202301051930;0;4
LUZ;202301051940;0;4
LUZ;202301051950;0;4
LUZ;202301052000;0;4
LUZ;202301052010;0;4
LUZ;202301052020;0;4
LUZ;202301052030;0;4
LUZ;202301052040;0;4
LUZ;202301052050;0;4
LUZ;202301052100;0;4
LUZ;202301052110;0;4
LUZ;202301052120;0;4
LUZ;202301052130;0;4
LUZ;202301052140;0;4
LUZ;202301052150;0;4
LUZ;202301052200;0;4
LUZ;202301052210;0;4
LUZ;202301052220;0;4
LUZ;202301052230;0;4
LUZ;202301052240;0;4
LUZ;202301052250;0;4
LUZ;202301052300;0;4
LUZ;202301052310;0;4
LUZ;202301052320;0;4
LUZ;202301052330;0;4
LUZ;202301052340;0;4
LUZ;202301052350;0;4
LUZ;202301060000;0;4
LUZ;202301060010;0;4
LUZ;202301060020;0;4
LUZ;202301060030;0;4
LUZ;202301060040;0;4
LUZ;202301060050;0;4
LUZ;202301060100;0;4
LUZ;202301060110;0;4
LUZ;202301060120;0;4
LUZ;202301060130;0;4
LUZ;202301060140;0;4
LUZ;202301060150;0;4
LUZ;202301060200;0;4
LUZ;202301060210;0;4
LUZ;202301060220;0;4
LUZ;202301060230;0;4
LUZ;202301060240;0;4
LUZ;202301060250;0;4
LUZ;202301060300;0;4
LUZ;202301060310;0;4
LUZ;202301060320;0;4
LUZ;202301060330;0;4
LUZ;202301060340;0;4
LUZ;202301060350;0;4
LUZ;202301060400;0;4
LUZ;202301060410;0;4
LUZ;202301060420;0;4
LUZ;202301060430;0;4
LUZ;202301060440;0;4
LUZ;202301060450;0;4
LUZ;202301060500;0;4
LUZ;202301060510;0;4
LUZ;202301060520;0;4
LUZ;202301060530;0;4
LUZ;202301060540;0;4
LUZ;202301060550;0;4
LUZ;202301060600;0;4
LUZ;202301060610;0;4
LUZ;202301060620;0;4
LUZ;202301060630;0;4
LUZ;202301060640;0;4
LUZ;202301060650;0;4
LUZ;202301060700;0;4
LUZ;202301060710;0;4
LUZ;202301060720;0;4
LUZ;202301060730;0;4
LUZ;202301060740;0;4
LUZ;202301060750;0;4
LUZ;202301060800;0;4
LUZ;202301060810;0;4
LUZ;202301060820;0;4
LUZ;202301060830;0;4
LUZ;202301060840;0;4
LUZ;202301060850;0;4
LUZ;202301060900;0;4
LUZ;202301060910;0;4
LUZ;202301060920;0;4
LUZ;202301060930;0;4
LUZ;202301060940;0;4
LUZ;202301060950;0;4
LUZ;202301061000;0;4
LUZ;202301061010;0;4
LUZ;202301061020;0;4
LUZ;202301061030;0;4
LUZ;202301061040;0;4
LUZ;202301061050;0;4
LUZ;202301061100;0;4
LUZ;202301061110;0;4
LUZ;202301061120;0;4
LUZ;202301061130;0;4
LUZ;202301061140;0;4
LUZ;202301061150;0;4
LUZ;202301061200;0;4
LUZ;202301061210;0;4
LUZ;202301061220;0;4
LUZ;202301061230;0;4
LUZ;202301061240;0;4
LUZ;202301061250;0;4
LUZ;202301061300;0;4
LUZ;202301061310;0;4
LUZ;202301061320;0;4
LUZ;202301061330;0;4
LUZ;202301061340;0;4
LUZ;202301061350;0;4
LUZ;202301061400;0;4
LUZ;202301061410;0;4
LUZ;202301061420;0;4
LUZ;202301061430;0;4
LUZ;202301061440;0;4
LUZ;202301061450;0;4
LUZ;202301061500;0;4
LUZ;202301061510;0;4
LUZ;202301061520;0;4
LUZ;202301061530;0;4
LUZ;202301061540;0;4
LUZ;202301061550;0;4
LUZ;202301061600;0;4
LUZ;202301061610;0;4
LUZ;202301061620;0;4
LUZ;202301061630;0;4
LUZ;202301061640;0;4
LUZ;202301061650;0;4
LUZ;202301061700;0;4
LUZ;202301061710;0;4
LUZ;202301061720;0;4
LUZ;202301061730;0;4
LUZ;202301061740;0;4
LUZ;202301061750;0;4
LUZ;202301061800;0;4
LUZ;202301061810;0;4
LUZ;202301061820;0;4
LUZ;202301061830;0;4
LUZ;202301061840;0;4
LUZ;202301061850;0;4
LUZ;202301061900;0;4
LUZ;202301061910;0;4
LUZ;202301061920;0;4
LUZ;202301061930;0;4
LUZ;202301061940;0;4
LUZ;202301061950;0;4
LUZ;202301062000;0;4
LUZ;202301062010;0;4
LUZ;202301062020;0;4
LUZ;202301062030;0;4
LUZ;202301062040;0;4
LUZ;202301062050;0;4
LUZ;202301062100;0;4
LUZ;202301062110;0;4
LUZ;202301062120;0;4
LUZ;202301062130;0;4
LUZ;202301062140;0;4
LUZ;202301062150;0;4
LUZ;202301062200;0;4
LUZ;202301062210;0;4
LUZ;202301062220;0;4
LUZ;202301062230;0;4
LUZ;202301062240;0;4
LUZ;202301062250;0;4
LUZ;202301062300;0;4
LUZ;202301062310;0;4
LUZ;202301062320;0;4
LUZ;202301062330;0;4
LUZ;202301062340;0;4
LUZ;202301062350;0;4
LUZ;202301070000;0;4
LUZ;202301070010;0;4
LUZ;202301070020;0;4
LUZ;202301070030;0;4
LUZ;202301070040;0;4
LUZ;202301070050;0;4
LUZ;202301070100;0;4
LUZ;202301070110;0;4
LUZ;202301070120;0;4
LUZ;202301070130;0;4
LUZ;202301070140;0;4
LUZ;202301070150;0;4
LUZ;202301070200;0;4
LUZ;202301070210;0;4
LUZ;202301070220;0;4
LUZ;202301070230;0;4
LUZ;202301070240;0;4
LUZ;202301070250;0;4
LUZ;202301070300;0;4
LUZ;202301070310;0;4
LUZ;202301070320;0;4
LUZ;202301070330;0;4
LUZ;202301070340;0;4
LUZ;202301070350;0;4
LUZ;202301070400;0;4
LUZ;202301070410;0;4
LUZ;202301070420;0;4
LUZ;202301070430;0;4
LUZ;202301070440;0;4
LUZ;202301070450;0;4
LUZ;202301070500;0;4
LUZ;202301070510;0;4
LUZ;202301070520;0;4
LUZ;202301070530;0;4
LUZ;202301070540;0;4
LUZ;202301070550;0;4
LUZ;202301070600;0;4
LUZ;202301070610;0;4
LUZ;202301070620;0;4
LUZ;202301070630;0;4
LUZ;202301070640;0;4
LUZ;202301070650;0;4
LUZ;202301070700;0;4
LUZ;202301070710;0;4
LUZ;202301070720;0;4
LUZ;202301070730;0;4
LUZ;202301070740;0;4
LUZ;202301070750;0;4
LUZ;202301070800;0;4
LUZ;202301070810;0;4
LUZ;202301070820;0;4
LUZ;202301070830;0;4
LUZ;202301070840;0;4
LUZ;202301070850;0;4
LUZ;202301070900;0;4
LUZ;202301070910;0;4
LUZ;202301070920;0;4
LUZ;202301070930;0;4
LUZ;202301070940;0;4
LUZ;202301070950;0;4
LUZ;202301071000;0;4
LUZ;202301071010;0;4
LUZ;202301071020;0;4
LUZ;202301071030;0;4
LUZ;202301071040;0;4
LUZ;202301071050;0;4
LUZ;202301071100;0;4
LUZ;202301071110;0;4
LUZ;202301071120;0;4
LUZ;202301071130;0;4
LUZ;202301071140;0;4
LUZ;202301071150;0;4
LUZ;202301071200;0;4
LUZ;202301071210;0;4
LUZ;202301071220;0;4
LUZ;202301071230;0;4
LUZ;202301071240;0;4
LUZ;202301071250;0;4
LUZ;202301071300;0;4
LUZ;202301071310;0;4
LUZ;202301071320;0;4
LUZ;202301071330;0;4
LUZ;202301071340;0;4
LUZ;202301071350;0;4
LUZ;202301071400;0;4
LUZ;202301071410;0;4
LUZ;202301071420;0;4
LUZ;202301071430;0;4
LUZ;202301071440;0;4
LUZ;202301071450;0;4
LUZ;202301071500;0;4
LUZ;202301071510;0;4
LUZ;202301071520;0;4
LUZ;202301071530;0;4
LUZ;202301071540;0;4
LUZ;202301071550;0;4
LUZ;202301071600;0;4
LUZ;202301071610;0;4
LUZ;202301071620;0;4
LUZ;202301071630;0;4
LUZ;202301071640;0;4
LUZ;202301071650;0;4
LUZ;202301071700;0;4
LUZ;202301071710;0;4
LUZ;202301071720;0;4
LUZ;202301071730;0;4
LUZ;202301071740;0;4
LUZ;202301071750;0;4
LUZ;202301071800;0;4
LUZ;202301071810;0;4
LUZ;202301071820;0;4
LUZ;202301071830;0;4
LUZ;202301071840;0;4
LUZ;202301071850;0;4
LUZ;202301071900;0;4
LUZ;202301071910;0;4
LUZ;202301071920;0;4
LUZ;202301071930;0;4
LUZ;202301071940;0;4
LUZ;202301071950;0;4
LUZ;202301072000;0;4
LUZ;202301072010;0;4
LUZ;202301072020;0;4
LUZ;202301072030;0;4
LUZ;202301072040;0;4
LUZ;202301072050;0;4
LUZ;202301072100;0;4
LUZ;202301072110;0;4
LUZ;202301072120;0;4
LUZ;202301072130;0;4
LUZ;202301072140;0;4
LUZ;202301072150;0;4
LUZ;202301072200;0;4
