 

stn;time;prestas0;qprestas0
LUZ;202301020900;968.8;4
LUZ;202301020910;968.9;4
LUZ;202301020920;968.9;4
LUZ;202301020930;969.1;4
LUZ;202301020940;969.1;4
LUZ;202301020950;969.1;4
LUZ;202301021000;969.1;4
LUZ;202301021010;969.1;4
LUZ;202301021020;969.1;4
LUZ;202301021030;969.1;4
LUZ;202301021040;969.0;4
LUZ;202301021050;969.0;4
LUZ;202301021100;969.0;4
LUZ;202301021110;969.1;4
LUZ;202301021120;969.1;4
LUZ;202301021130;969.2;4
LUZ;202301021140;969.1;4
LUZ;202301021150;969.2;4
LUZ;202301021200;969.3;4
LUZ;202301021210;969.3;4
LUZ;202301021220;969.4;4
LUZ;202301021230;969.5;4
LUZ;202301021240;969.6;4
LUZ;202301021250;969.6;4
LUZ;202301021300;969.6;4
LUZ;202301021310;969.6;4
LUZ;202301021320;969.6;4
LUZ;202301021330;969.5;4
LUZ;202301021340;969.8;4
LUZ;202301021350;969.8;4
LUZ;202301021400;970.0;4
LUZ;202301021410;970.2;4
LUZ;202301021420;970.2;4
LUZ;202301021430;970.2;4
LUZ;202301021440;970.4;4
LUZ;202301021450;970.6;4
LUZ;202301021500;970.7;4
LUZ;202301021510;970.8;4
LUZ;202301021520;970.8;4
LUZ;202301021530;971.0;4
LUZ;202301021540;971.1;4
LUZ;202301021550;971.2;4
LUZ;202301021600;971.3;4
LUZ;202301021610;971.4;4
LUZ;202301021620;971.5;4
LUZ;202301021630;971.6;4
LUZ;202301021640;971.7;4
LUZ;202301021650;971.8;4
LUZ;202301021700;971.9;4
LUZ;202301021710;971.9;4
LUZ;202301021720;972.0;4
LUZ;202301021730;972.1;4
LUZ;202301021740;972.1;4
LUZ;202301021750;972.2;4
LUZ;202301021800;972.2;4
LUZ;202301021810;972.2;4
LUZ;202301021820;972.3;4
LUZ;202301021830;972.4;4
LUZ;202301021840;972.5;4
LUZ;202301021850;972.5;4
LUZ;202301021900;972.7;4
LUZ;202301021910;972.8;4
LUZ;202301021920;972.9;4
LUZ;202301021930;973.0;4
LUZ;202301021940;973.1;4
LUZ;202301021950;973.3;4
LUZ;202301022000;973.4;4
LUZ;202301022010;973.4;4
LUZ;202301022020;973.5;4
LUZ;202301022030;973.6;4
LUZ;202301022040;973.6;4
LUZ;202301022050;973.7;4
LUZ;202301022100;973.8;4
LUZ;202301022110;973.8;4
LUZ;202301022120;974.0;4
LUZ;202301022130;974.1;4
LUZ;202301022140;974.2;4
LUZ;202301022150;974.3;4
LUZ;202301022200;974.4;4
LUZ;202301022210;974.5;4
LUZ;202301022220;974.6;4
LUZ;202301022230;974.6;4
LUZ;202301022240;974.6;4
LUZ;202301022250;974.7;4
LUZ;202301022300;974.8;4
LUZ;202301022310;974.8;4
LUZ;202301022320;974.8;4
