minute_of_hour,hour_of_day,day_of_week,week_of_year,month_of_year,day_of_month,
0.039739833504427224,0.15103386557893828,0.08350363932549953,0.09424814907833934,0.07425900065572932,0.07969508215319365,0.0894824881106615
0.03865219812723808,0.1478962047258392,0.0826400521909818,0.09273817238863558,0.07309028005693108,0.08056553738424554,0.08826704137027264
0.037408043892355636,0.14406302670249715,0.08139503811253235,0.09105713572353125,0.07184208434773609,0.08162897470174357,0.08694005908910185
0.03540786376106553,0.13808185933157802,0.07946461008396,0.08841433492489159,0.06990606256294996,0.08333533984841779,0.08480696100741625
0.03404941415647045,0.135164441075176,0.07893552927998826,0.0866785787511617,0.06876517552882433,0.08454437967156991,0.08314218209125102
0.03253251520800404,0.13077699817949906,0.07757919654250145,0.08463665726594627,0.06708822725340724,0.08568374929018319,0.08150654542259872
0.031142193620325997,0.12741941993590444,0.0765808466821909,0.08297264843713492,0.06609403114998713,0.08703599666478112,0.0799325299449265
0.030463036673609167,0.12711664056405425,0.077054959081579,0.08215609448961914,0.0654722856124863,0.0875312348944135,0.07891149586066604
0.030511455406667665,0.1267767212120816,0.07625986565835774,0.08245625032577664,0.0661640118341893,0.08789553976384923,0.07918466650880873
0.030677564995130524,0.12707684375345707,0.07574676949298009,0.08287515735719353,0.06720069819130003,0.08817640808410943,0.07952286035288125
0.03095649494207464,0.12761950492858887,0.0755446168477647,0.08331079070921987,0.0676438583759591,0.08806357177672908,0.07994172046892345
0.031359560060082003,0.12887934606987983,0.07569887419231236,0.08393411082215607,0.06841443665325642,0.08790226926794276,0.08042947063222528
0.031947016512276605,0.13087221328169107,0.07633294345578179,0.08473678003065288,0.06902061006985605,0.08738947618985549,0.08106767002027482
0.032490147423231974,0.1324547816766426,0.07685069943545386,0.08540338918101043,0.06927533447742462,0.08677918813191354,0.0816813565324992
0.03313485736725852,0.1343650877242908,0.0775511575047858,0.08617469330783933,0.06950405100360513,0.08599852316547185,0.08239895908627659
0.03355116766761057,0.13547868782188743,0.07767973601585254,0.08685523748863488,0.07038057339377701,0.08593178284354508,0.08293748379219323
0.03383825428318232,0.13573444914072752,0.07748869806528091,0.08729546354152262,0.07077834813389927,0.08579399972222745,0.08342259423807263
0.034657713607884943,0.13852889754343778,0.07845156430266798,0.08851578587200493,0.0719207834918052,0.08526082220487297,0.08434122754260898
0.03539107690448873,0.14081846550107002,0.07917846104828641,0.08967133553232998,0.07298826426267624,0.08485354378353804,0.08522450877353549
0.0364002235874068,0.14428949926514179,0.08047173562226817,0.09117276826873422,0.0742012191331014,0.0841323466738686,0.08633489010389894
0.0373173737898469,0.14719669497571886,0.08148251270176843,0.09254276507999748,0.07533509167842567,0.08351765328552574,0.08738902653567493
0.03884895972441882,0.15253400092478842,0.08361257461365312,0.09464627632405609,0.07688436168245971,0.08223791071213782,0.08897269470617175
0.03984806043445133,0.15558960405178368,0.08472359401639551,0.09605483035556972,0.07794131466653198,0.08148133393842727,0.09010401088744402
0.04088064382085577,0.15881475288188085,0.08591665711719543,0.09752458264119923,0.07913055142853409,0.08074907795526087,0.09125190472695976
0.040303728019353,0.158620877424255,0.0868814475252293,0.0967800811631605,0.07851634442340583,0.08117609436158091,0.0902687463676557
0.039772322634235024,0.15852477709995583,0.08792294887825847,0.09595825243741274,0.07756478519877419,0.08130719291511923,0.08932801033370197
0.03865010669687763,0.1559835338848643,0.08767876238562167,0.09448437136597931,0.07635570643469691,0.08219441981054842,0.08788742567412555
0.03754994212067686,0.15327733830781654,0.08730639575514942,0.0929324576864019,0.07491081504849717,0.08288835326675326,0.0865148704033345
0.035708188312128186,0.14754614152479917,0.08530909812543541,0.09053875645622611,0.07332920446060598,0.08462678763316944,0.08449457969982177
0.034006493573542684,0.14262727327877656,0.08374659175751731,0.08833024115301669,0.07177159521961585,0.08611337700858712,0.08260194049216807
0.03230753735988401,0.1378374428022653,0.08226311905309558,0.0860856887884438,0.07003874913789332,0.08750425063772127,0.08066369127482176
0.030643665028037503,0.13344492961186916,0.08081111771753058,0.08398057764861733,0.06861909374129027,0.08902515860972926,0.07874346768949181
0.030443879426456988,0.1315864563221112,0.07913697190815583,0.0838426782283932,0.0687431424157694,0.0894913484225981,0.07885289192199707
0.030550809286069125,0.13128761120606214,0.07846336456714198,0.08409393974579871,0.06887220847420394,0.08950786414789036,0.07919291837606579
0.030810963246040046,0.1315798128489405,0.07807019242318347,0.08445002941880375,0.0690793537069112,0.08929948223521933,0.07964208058547229
0.03130365686956793,0.1329535380937159,0.07833617040887475,0.08505823742598295,0.06930938933510333,0.08876031078398228,0.08025066170375794
0.03187407669611275,0.13461354235187173,0.07878387742675841,0.0857344283722341,0.06954293779563159,0.0881025271373801,0.08092168893199414
0.032056713418569416,0.13429153768811375,0.07828226761193946,0.08594907564111054,0.06944744859356433,0.08789698214968666,0.08131934073753655
0.032067521271528676,0.13304972799960524,0.07734431338030845,0.08593766205012798,0.06920139444991946,0.08786202978808433,0.08160288911312819
0.032500003289896995,0.1337051634909585,0.07736521010519937,0.086441271007061,0.06919062766246498,0.08728871535276994,0.08224756724666804
0.03301948349690065,0.13480957772117108,0.07771286240313202,0.08702860795892775,0.06904380058404058,0.0864758831448853,0.08296426106244326
0.033120751701062545,0.13386220997199416,0.07699420594144613,0.08709291263949126,0.06862019968684763,0.08616519719362259,0.0833640027558431
0.03372356199542992,0.13521627825684845,0.07738019665703177,0.08780768106225878,0.06871525233145803,0.08535842597484589,0.0842006936436519
